Abdurahiman Nagar,676305,Malappuram
Abhayagiri,673517,Kozhikode
Achanthuruthi,671351,Kasaragod
Achencoil,689696,Kollam
Achikanam,671531,Kasaragod
Achooranam,673575,Wayanad
Adakkakundu,676525,Malappuram
Adakkaputhur,679503,Palakkad
Adat,680551,Thrissur
Adayamon,695614,Thiruvananthapuram
Adichanallur,691573,Kollam
Adichipuzha,689711,Pathanamthitta
Adimali,685561,Idukki
Adivaram,686582,Kottayam
Adivaram Pudupadi,673586,Kozhikode
Adkathbail,671121,Kasaragod
Adoormala,685590,Idukki
Adukkam,686580,Kottayam
Adukkath,673508,Kozhikode
Adumpumkulam,689692,Pathanamthitta
Adur,671543,Kasaragod
Adur Kla,691523,Pathanamthitta
Aduthala,691579,Kollam
Agalad,680518,Thrissur
Agali Palakkad,678581,Palakkad
AIMS Ponekkara,682041,Ernakulam
Aimurikara,683544,Ernakulam
Airapuram,683541,Ernakulam
Airoopadam,686692,Ernakulam
Airoor,683579,Ernakulam
Ajanur,671531,Kasaragod
Akalur,679302,Palakkad
Akamkudy,690513,Alappuzha
Akathethara,678008,Palakkad
Akathiyur,680519,Thrissur
Akkal,691516,Kollam
Akkal,673513,Kozhikode
Akkaparamba,673641,Malappuram
Akkarapadom,686143,Kottayam
Akkikavu,680519,Thrissur
Ala Alappuzha,689126,Alappuzha
Alacherry,670650,Kannur
Alagappanagar,680302,Thrissur
Alakode,685588,Idukki
Alakode,670571,Kannur
Alakode kuttaramba,670571,Kannur
Alamcode,695102,Thiruvananthapuram
Alampady,671123,Kasaragod
Alampallam,678506,Palakkad
Alanad,686651,Kottayam
Alanallur,678601,Palakkad
Alangad,683511,Ernakulam
Alangad,678633,Palakkad
Alankode,679585,Malappuram
Alapad,680641,Thrissur
Alappuzha,688001,Alappuzha
Alappuzha Bazar,688012,Alappuzha
Alappuzha Collectorate,688001,Alappuzha
Alappuzha District Hospital,688011,Alappuzha
Alappuzha Iron Bridge,688011,Alappuzha
Alappuzha Medical College,688005,Alappuzha
Alappuzha Mullackal,688011,Alappuzha
Alappuzha North,688007,Alappuzha
Alapra,686544,Kottayam
Alathiyur,676102,Malappuram
Alathur Mbr,678541,Palakkad
Alathur Thrissur,680741,Thrissur
Alattil,670644,Wayanad
Alattuchira,683544,Ernakulam
Alavil,670008,Kannur
Alayamon,691306,Kollam
Aliparamba,679357,Malappuram
Aliyadu,695607,Thiruvananthapuram
Allapra,683556,Ernakulam
Alli,673602,Kozhikode
Alpara,685606,Idukki
Altharamoodu,695102,Thiruvananthapuram
Alumkadavu,690573,Kollam
Alumoodu,691577,Kollam
Alumpeedika,690547,Kollam
Alumthuruthy,689113,Pathanamthitta
Alur Kalletumkara,680683,Thrissur
Alur Mattom,680602,Thrissur
Aluva,683101,Ernakulam
Aluva asokapuram,683101,Ernakulam
Aluva Bazar,683101,Ernakulam
Aluva Town Bus Stand,683101,Ernakulam
Amachal,695572,Thiruvananthapuram
Amalagiri,686561,Kottayam
Amalanagar,680555,Thrissur
Amanakara,686576,Kottayam
Amara,686546,Kottayam
Amara Kuni,673579,Wayanad
Amarambalam,679332,Malappuram
Amarambalam South,679339,Malappuram
Amaravathy,685509,Idukki
Amaravila,695122,Thiruvananthapuram
Amayannur,686019,Kottayam
Amayapra,685595,Idukki
Amayur,676123,Malappuram
Amayur,679303,Palakkad
Ambalakkadavu,676525,Malappuram
Ambalakkara,691532,Kollam
Ambalamedu,682303,Ernakulam
Ambalamugal,682302,Ernakulam
Ambalamukku,695005,Thiruvananthapuram
Ambalapara,679512,Palakkad
Ambalapuzha,688561,Alappuzha
Ambalapuzha East EDB O,688561,Alappuzha
Ambalathara,695026,Thiruvananthapuram
Ambalathinkala,695572,Thiruvananthapuram
Ambalathinnirappu,691508,Kollam
Ambalathumbhagom,690520,Kollam
Ambalathumkala,691505,Kollam
Ambalavattom,679501,Palakkad
Ambalavayal,673593,Wayanad
Amballur,682315,Ernakulam
Ambanad,691309,Kollam
Ambayathode,670651,Kannur
Ambika Market,686144,Kottayam
Ambikapuram Palakkad,678011,Palakkad
Ambilat,670701,Kannur
Ambipoika,691501,Kollam
Amboori,695505,Thiruvananthapuram
Amichikary,689112,Pathanamthitta
Ammadam,680563,Thrissur
Ammeri,671322,Kasaragod
Amminikkad,679322,Malappuram
Ampara Nirappel,686578,Kottayam
Amrithapuri,690525,Kollam
Anad,695541,Thiruvananthapuram
Anakampoyil,673603,Kozhikode
Anakkal,686508,Kottayam
Anakkal,678651,Palakkad
Anakkara Idukki,685512,Idukki
Anakkara Palakkad,679551,Palakkad
Anakkayam,676509,Malappuram
Anakottur,691505,Kollam
Anakudy,695606,Thiruvananthapuram
Anakulam,685565,Idukki
Anakulam,691311,Kollam
Anamangad,679357,Malappuram
Anamari,678506,Palakkad
Anandapally,691525,Pathanamthitta
Anandapuram,680305,Thrissur
Anandashrama,671531,Kasaragod
Ananthavur,676301,Malappuram
